timestamp,type,ip,data,feature,anomaly
2025-11-21T19:47:54.868445,SERVER_START,0.0.0.0:2222,,1,1
2025-11-21T21:10:12.123456,CONNECT,192.168.1.10:34567,,1,1
2025-11-21T21:10:13.456789,DISCONNECT,192.168.1.10:34567,,1,1
2025-11-21T21:12:01.111111,CONNECT,45.90.12.3:51232,,1,1
2025-11-21T21:12:02.444444,DISCONNECT,45.90.12.3:51232,,1,1
2025-11-21T21:15:44.555555,CONNECT,185.23.14.9:60221,,1,1
2025-11-21T21:15:46.999999,DISCONNECT,185.23.14.9:60221,,1,1
2025-11-21T21:18:10.121212,CONNECT,103.24.55.4:40992,,1,1
2025-11-21T21:18:10.232323,DATA,103.24.55.4,ls,1,1
2025-11-21T21:18:10.343434,DATA,103.24.55.4,pwd,1,1
2025-11-21T21:18:10.454545,DATA,103.24.55.4,whoami,1,1
2025-11-21T21:18:11.565656,DISCONNECT,103.24.55.4:40992,,1,1
2025-11-22T00:10:38.893275,SERVER_START,0.0.0.0:2222,,1,1
